trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
1,0,1,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
2,0,2,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
3,0,3,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
4,0,4,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
5,0,5,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
6,0,6,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
7,0,7,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
8,0,8,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
9,0,9,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
10,0,10,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
11,0,11,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
12,0,12,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
13,0,13,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
14,0,14,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
15,0,15,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
16,0,16,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
17,0,17,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
18,0,18,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
19,0,19,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
20,0,20,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
21,0,21,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
22,0,22,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
23,0,23,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
24,0,24,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
25,0,25,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
26,0,26,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
27,0,27,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
28,0,28,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
29,0,29,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
30,0,30,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
31,0,31,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
32,0,32,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
33,0,33,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
34,0,34,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
35,0,35,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
36,0,36,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
37,0,37,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
38,0,38,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
39,0,39,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
40,0,40,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
41,0,41,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
42,0,42,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
43,0,43,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
